date,trading_symbol,target_prob,exit_signal_prob,target_model,exit_signal_model,signal,signal_strength
2024-11-05,BHARTIARTL,0.9025235186536514,0.3980165830652679,catboost,catboost,BUY,0.9025235186536514
2024-11-05,ICICIBANK,0.3224562704563141,0.4275566320422442,xgboost,catboost,HOLD,
2024-11-05,RELIANCE,0.5927910280738636,0.5,catboost,catboost,HOLD,
2024-11-05,SBIN,0.4489121266167423,0.5404457099788242,catboost,lightgbm,SELL,0.5404457099788242
2024-11-05,SUNPHARMA,0.5176392318641343,0.5235802838381035,lightgbm,lightgbm,SELL,0.5235802838381035
2024-11-05,TATAMOTORS,0.5835633388036287,0.11388294974888345,catboost,lightgbm,HOLD,
2024-11-05,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-05,ULTRACEMCO,0.5703011155128479,0.45442737916633014,xgboost,catboost,HOLD,
2024-11-06,AXISBANK,0.9339627130450932,0.4886524766229742,catboost,catboost,BUY,0.9339627130450932
2024-11-06,BHARTIARTL,0.9046908006020168,0.3980165830652679,catboost,catboost,BUY,0.9046908006020168
2024-11-06,ICICIBANK,0.25672608613967896,0.4433707362592252,xgboost,catboost,HOLD,
2024-11-06,RELIANCE,0.6650930455723579,0.5,catboost,catboost,BUY,0.6650930455723579
2024-11-06,SBIN,0.4489121266167423,0.49824687946572704,catboost,lightgbm,HOLD,
2024-11-06,SUNPHARMA,0.5176392318641343,0.510928584696942,lightgbm,lightgbm,SELL,0.510928584696942
2024-11-06,TATAMOTORS,0.5835633388036287,0.1285372319935605,catboost,lightgbm,HOLD,
2024-11-06,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-06,ULTRACEMCO,0.42495447397232056,0.4676833269562597,xgboost,catboost,HOLD,
2024-11-07,AXISBANK,0.9505322549830652,0.4886524766229742,catboost,catboost,BUY,0.9505322549830652
2024-11-07,BHARTIARTL,0.8977474341095473,0.3980165830652679,catboost,catboost,BUY,0.8977474341095473
2024-11-07,ICICIBANK,0.47858041524887085,0.33317264590002504,xgboost,catboost,HOLD,
2024-11-07,RELIANCE,0.6154988029440831,0.5,catboost,catboost,BUY,0.6154988029440831
2024-11-07,SBIN,0.4919245609161153,0.49824687946572704,catboost,lightgbm,HOLD,
2024-11-07,SUNPHARMA,0.5264661064308593,0.510928584696942,lightgbm,lightgbm,SELL,0.510928584696942
2024-11-07,TATAMOTORS,0.5835633388036287,0.12959606210331814,catboost,lightgbm,HOLD,
2024-11-07,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-07,ULTRACEMCO,0.6540403962135315,0.45442737916633014,xgboost,catboost,BUY,0.6540403962135315
2024-11-08,AXISBANK,0.9297740548617665,0.4886524766229742,catboost,catboost,BUY,0.9297740548617665
2024-11-08,BHARTIARTL,0.9054766443474819,0.3944852685316721,catboost,catboost,BUY,0.9054766443474819
2024-11-08,ICICIBANK,0.6801162958145142,0.20735556162391972,xgboost,catboost,BUY,0.6801162958145142
2024-11-08,RELIANCE,0.6833451890100785,0.5,catboost,catboost,BUY,0.6833451890100785
2024-11-08,SBIN,0.48824705672240115,0.48553528902720866,catboost,lightgbm,HOLD,
2024-11-08,SUNPHARMA,0.5264661064308593,0.510928584696942,lightgbm,lightgbm,SELL,0.510928584696942
2024-11-08,TATAMOTORS,0.5835633388036287,0.13375361499307017,catboost,lightgbm,HOLD,
2024-11-08,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-08,ULTRACEMCO,0.6911057233810425,0.5,xgboost,catboost,BUY,0.6911057233810425
2024-11-11,AXISBANK,0.9103575952656883,0.4886524766229742,catboost,catboost,BUY,0.9103575952656883
2024-11-11,BHARTIARTL,0.8986467611797992,0.3944852685316721,catboost,catboost,BUY,0.8986467611797992
2024-11-11,ICICIBANK,0.39193034172058105,0.20053431603434704,xgboost,catboost,HOLD,
2024-11-11,RELIANCE,0.6022362695439982,0.5,catboost,catboost,BUY,0.6022362695439982
2024-11-11,SBIN,0.4523809707014888,0.49824687946572704,catboost,lightgbm,HOLD,
2024-11-11,SUNPHARMA,0.5264661064308593,0.510928584696942,lightgbm,lightgbm,SELL,0.510928584696942
2024-11-11,TATAMOTORS,0.5835633388036287,0.1793839909099392,catboost,lightgbm,HOLD,
2024-11-11,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-11,ULTRACEMCO,0.675953209400177,0.5,xgboost,catboost,BUY,0.675953209400177
2024-11-12,AXISBANK,0.8681252518057924,0.4886524766229742,catboost,catboost,BUY,0.8681252518057924
2024-11-12,BHARTIARTL,0.8888156671479293,0.3944852685316721,catboost,catboost,BUY,0.8888156671479293
2024-11-12,ICICIBANK,0.4440979063510895,0.25179641404691794,xgboost,catboost,HOLD,
2024-11-12,RELIANCE,0.5697906846002354,0.5,catboost,catboost,HOLD,
2024-11-12,SBIN,0.4145641998269698,0.48553528902720866,catboost,lightgbm,HOLD,
2024-11-12,SUNPHARMA,0.5570253824294932,0.47502082099395493,lightgbm,lightgbm,HOLD,
2024-11-12,TATAMOTORS,0.5835633388036287,0.22395175641930692,catboost,lightgbm,HOLD,
2024-11-12,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-12,ULTRACEMCO,0.8462234735488892,0.5,xgboost,catboost,BUY,0.8462234735488892
2024-11-13,AXISBANK,0.92033815281024,0.4743760142501173,catboost,catboost,BUY,0.92033815281024
2024-11-13,BHARTIARTL,0.8888156671479293,0.3944852685316721,catboost,catboost,BUY,0.8888156671479293
2024-11-13,ICICIBANK,0.47041407227516174,0.2171245462630852,xgboost,catboost,HOLD,
