symbol,model,accuracy,precision,recall,f1,auc,training_time
TCS,xgboost,0.91,1.0,0.91,0.9528795811518325,,0.15800046920776367
TCS,catboost,0.93,1.0,0.93,0.9637305699481865,,1.745025873184204
TITAN,lightgbm,0.6296296296296297,0.7857142857142857,0.4782608695652174,0.5945945945945946,0.7922360248447206,0.2689995765686035
TITAN,xgboost,0.6419753086419753,0.7931034482758621,0.5,0.6133333333333333,0.7944099378881988,0.2780001163482666
TITAN,catboost,0.6666666666666666,0.9523809523809523,0.43478260869565216,0.5970149253731343,0.7515527950310559,3.563383102416992
ULTRACEMCO,lightgbm,0.7888888888888889,1.0,0.7432432432432432,0.8527131782945736,0.8374155405405406,0.3059983253479004
ULTRACEMCO,xgboost,0.7666666666666667,0.9649122807017544,0.7432432432432432,0.8396946564885496,0.8809121621621621,0.20200014114379883
ULTRACEMCO,catboost,0.7888888888888889,1.0,0.7432432432432432,0.8527131782945736,0.902027027027027,3.20304012298584
WIPRO,lightgbm,0.8478260869565217,0.9295774647887324,0.88,0.9041095890410958,0.9101960784313725,0.2185060977935791
WIPRO,xgboost,0.8260869565217391,0.9154929577464789,0.8666666666666667,0.8904109589041096,0.8894117647058823,0.492706298828125
WIPRO,catboost,0.75,0.9814814814814815,0.7066666666666667,0.8217054263565892,0.9474509803921568,1.7640225887298584
