date,trading_symbol,actual,predicted_proba,trend_confirmations,model_name,signal
2024-10-16,BAJFINANCE,0.0,0.42407749958434904,2.0,catboost,HOLD
2024-10-16,BHARTIARTL,0.0,0.4024430256689672,3.0,catboost,HOLD
2024-10-16,ICICIBANK,0.0,0.7608681321144104,3.0,xgboost,BUY
2024-10-16,INFY,0.0,0.412927110134952,3.0,catboost,HOLD
2024-10-16,MARUTI,0.0,0.35912773468385395,2.0,lightgbm,HOLD
2024-10-16,RELIANCE,0.0,0.9318595061128208,1.0,catboost,HOLD
2024-10-16,SBIN,0.0,0.23600920694718105,1.0,catboost,SELL
2024-10-16,SUNPHARMA,0.0,0.3794354738132796,3.0,lightgbm,HOLD
2024-10-16,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-16,TITAN,0.0,0.3962656557559967,2.0,xgboost,HOLD
2024-10-16,ULTRACEMCO,0.0,0.7845286194595523,3.0,catboost,BUY
2024-10-16,WIPRO,1.0,0.45561664978822863,3.0,catboost,HOLD
2024-10-17,ASIANPAINT,0.0,0.6303316061819711,2.0,catboost,BUY
2024-10-17,AXISBANK,1.0,0.748536479429106,2.0,lightgbm,BUY
2024-10-17,BAJFINANCE,1.0,0.4850686205365884,1.0,catboost,HOLD
2024-10-17,BHARTIARTL,0.0,0.5146888370959247,3.0,catboost,HOLD
2024-10-17,ICICIBANK,1.0,0.8113235831260681,3.0,xgboost,BUY
2024-10-17,INFY,0.0,0.3122250633814836,3.0,catboost,HOLD
2024-10-17,MARUTI,0.0,0.44950431063846735,2.0,lightgbm,HOLD
2024-10-17,RELIANCE,0.0,0.975871767452562,1.0,catboost,HOLD
2024-10-17,SBIN,0.0,0.18650215034064793,1.0,catboost,SELL
2024-10-17,SUNPHARMA,0.0,0.4644999350097047,3.0,lightgbm,HOLD
2024-10-17,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-17,TITAN,0.0,0.67044597864151,1.0,xgboost,HOLD
2024-10-17,ULTRACEMCO,0.0,0.7985159248326351,3.0,catboost,BUY
2024-10-17,WIPRO,1.0,0.5116722648401967,3.0,catboost,HOLD
2024-10-18,ASIANPAINT,0.0,0.5644747964431842,2.0,catboost,HOLD
2024-10-18,AXISBANK,0.0,0.7168180900605807,2.0,lightgbm,BUY
2024-10-18,BAJFINANCE,0.0,0.42407749958434904,1.0,catboost,HOLD
2024-10-18,BHARTIARTL,0.0,0.5146888370959247,3.0,catboost,HOLD
2024-10-18,ICICIBANK,0.0,0.8794534802436829,3.0,xgboost,BUY
2024-10-18,INFY,0.0,0.31204222326495634,3.0,catboost,HOLD
2024-10-18,MARUTI,0.0,0.5015471359742649,2.0,lightgbm,HOLD
2024-10-18,RELIANCE,0.0,0.7549331761186254,1.0,catboost,HOLD
2024-10-18,SBIN,0.0,0.33633529805083034,1.0,catboost,HOLD
2024-10-18,SUNPHARMA,0.0,0.4232853400067579,3.0,lightgbm,HOLD
2024-10-18,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-18,TITAN,0.0,0.6633720397949219,1.0,xgboost,HOLD
2024-10-18,ULTRACEMCO,0.0,0.8052135702496579,3.0,catboost,BUY
2024-10-18,WIPRO,0.0,0.45561664978822863,3.0,catboost,HOLD
2024-10-21,ASIANPAINT,0.0,0.6372882397772401,2.0,catboost,BUY
2024-10-21,AXISBANK,0.0,0.694964749723176,1.0,lightgbm,HOLD
2024-10-21,BAJFINANCE,1.0,0.48428984396523883,1.0,catboost,HOLD
2024-10-21,BHARTIARTL,0.0,0.5428059482410229,3.0,catboost,HOLD
2024-10-21,ICICIBANK,1.0,0.9535134434700012,3.0,xgboost,BUY
2024-10-21,INFY,0.0,0.3952286483675294,3.0,catboost,HOLD
2024-10-21,MARUTI,0.0,0.40679058147895414,2.0,lightgbm,HOLD
2024-10-21,RELIANCE,0.0,0.8011340065714052,1.0,catboost,HOLD
2024-10-21,SBIN,0.0,0.3014622128630505,1.0,catboost,HOLD
2024-10-21,SUNPHARMA,0.0,0.34757558082509515,3.0,lightgbm,HOLD
2024-10-21,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-21,TITAN,0.0,0.6830267310142517,1.0,xgboost,HOLD
2024-10-21,ULTRACEMCO,1.0,0.831286338991229,2.0,catboost,BUY
2024-10-21,WIPRO,1.0,0.43873235594975374,3.0,catboost,HOLD
2024-10-22,ASIANPAINT,0.0,0.6655786579719036,2.0,catboost,BUY
2024-10-22,AXISBANK,0.0,0.7383247167092281,1.0,lightgbm,HOLD
2024-10-22,BAJFINANCE,1.0,0.48428984396523883,1.0,catboost,HOLD
2024-10-22,BHARTIARTL,0.0,0.5772844348924897,3.0,catboost,HOLD
2024-10-22,ICICIBANK,1.0,0.9402706623077393,3.0,xgboost,BUY
2024-10-22,INFY,0.0,0.4339384687224746,3.0,catboost,HOLD
2024-10-22,MARUTI,0.0,0.3872278102606856,2.0,lightgbm,HOLD
2024-10-22,RELIANCE,0.0,0.5639302304535023,1.0,catboost,HOLD
2024-10-22,SBIN,1.0,0.8240770176076847,1.0,catboost,HOLD
2024-10-22,SUNPHARMA,0.0,0.27375861945312996,3.0,lightgbm,SELL
2024-10-22,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-22,TITAN,0.0,0.6580229997634888,1.0,xgboost,HOLD
2024-10-22,ULTRACEMCO,1.0,0.8711305201397193,2.0,catboost,BUY
2024-10-22,WIPRO,1.0,0.494597994793466,3.0,catboost,HOLD
2024-10-23,ASIANPAINT,0.0,0.6502588429982574,2.0,catboost,BUY
2024-10-23,AXISBANK,0.0,0.7331313223681548,1.0,lightgbm,HOLD
2024-10-23,BAJFINANCE,0.0,0.48898518718739686,1.0,catboost,HOLD
2024-10-23,BHARTIARTL,0.0,0.5237010604212459,3.0,catboost,HOLD
2024-10-23,ICICIBANK,1.0,0.91504967212677,3.0,xgboost,BUY
2024-10-23,INFY,0.0,0.4160287513129894,3.0,catboost,HOLD
2024-10-23,MARUTI,0.0,0.34879340701178096,2.0,lightgbm,HOLD
2024-10-23,RELIANCE,0.0,0.558447972107789,1.0,catboost,HOLD
2024-10-23,SBIN,1.0,0.819881516633211,1.0,catboost,HOLD
2024-10-23,SUNPHARMA,0.0,0.3277802636733867,3.0,lightgbm,HOLD
2024-10-23,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-23,TITAN,0.0,0.7716224193572998,1.0,xgboost,HOLD
2024-10-23,ULTRACEMCO,1.0,0.8619952384012394,2.0,catboost,BUY
2024-10-23,WIPRO,1.0,0.494597994793466,3.0,catboost,HOLD
2024-10-24,ASIANPAINT,0.0,0.6585775729214226,2.0,catboost,BUY
2024-10-24,AXISBANK,0.0,0.7562310073782249,1.0,lightgbm,HOLD
2024-10-24,BAJFINANCE,0.0,0.48898518718739686,1.0,catboost,HOLD
2024-10-24,BHARTIARTL,0.0,0.7417295946448447,3.0,catboost,BUY
2024-10-24,ICICIBANK,1.0,0.9185578227043152,3.0,xgboost,BUY
2024-10-24,INFY,0.0,0.4160287513129894,3.0,catboost,HOLD
2024-10-24,MARUTI,0.0,0.34879340701178096,2.0,lightgbm,HOLD
