Feature,Pearson_Corr_Target,Spearman_Corr_Target,Combined_Rank,Corr_Difference
high_lag5,0.015235976093642925,0.034344648471823724,195.0,0.0191086723781808
close_lag5,0.015123988496689143,0.0345754315715137,195.0,0.01945144307482456
day_of_week,0.01975743939152266,0.01852452840970279,197.0,0.0012329109818198687
low_lag5,0.015009274946749827,0.03444069784645703,199.0,0.0194314228997072
open_lag5,0.015079477683808329,0.033942947945124535,200.0,0.018863470261316205
high_lag10,0.014928244018935527,0.03307026557557378,205.0,0.01814202155663825
cci_20,0.0177203677425285,0.01965482601257989,205.0,0.0019344582700513875
breakout,0.018003818253657797,0.01800381825365777,206.0,2.7755575615628914e-17
open_lag10,0.01465036775912657,0.0328916997289142,208.0,0.01824133196978763
close_lag10,0.014767240821858561,0.03260252094593137,209.0,0.01783528012407281
low_lag10,0.01452947815410413,0.03262149566544543,210.0,0.018092017511341298
mfi_14,0.017996977216331683,0.016109088062864714,212.0,0.0018878891534669685
trix,0.01911663628527693,0.010305380135969421,218.0,0.008811256149307509
price_change,0.023237713824423443,0.0023703462857315154,224.0,0.02086736753869193
dist_to_lower_band,0.01934112410667734,0.006655797022033601,224.0,0.012685327084643736
return_1d,0.02323770870771119,0.0023701991962939897,226.0,0.0208675095114172
macd_line_lag5,0.012456487603229621,0.029582627557407,229.0,0.017126139954177378
bollinger_width,0.015795674570335323,0.02017611098705503,238.0,0.004380436416719705
volume_lag20,0.013837193896861767,0.024845906425120315,239.0,0.011008712528258548
high_volume_signal,0.01587186192569836,0.01587186192569848,244.0,1.214306433183765e-16
month,0.015860111065154402,0.013972785820756919,250.0,0.0018873252443974836
natr,0.0058972132823337095,0.02601011936416156,253.0,0.02011290608182785
atr_ratio,0.005897206557637269,0.026009972277282193,255.0,0.020112765719644925
macd_line_lag3,0.006597989869218441,0.024052653085613027,257.0,0.017454663216394585
return_consistency,0.013841465568291115,0.016164914128622806,264.0,0.0023234485603316913
macd_line,0.007036761993389816,0.0209480363407082,265.0,0.013911274347318385
sector_strength,0.015499843393563206,0.009885145681743944,267.0,0.005614697711819262
return_60d,0.012695690433770546,0.017305807704046647,267.0,0.0046101172702761005
macd_line_lag10,0.002881199031136896,0.024892975039443557,268.0,0.02201177600830666
rsi_14_lag1,0.012892312724377014,0.015075637668833564,271.0,0.00218332494445655
williams_r,0.013379297713574417,0.014268410839501835,272.0,0.0008891131259274182
di_minus_14,0.013731073140396247,0.013464567072730593,273.0,0.000266506067665654
rsi_14_lag2,0.012715950116637252,0.014375786127476494,273.0,0.0016598360108392423
macd_line_lag2,0.0017146141712014013,0.021968984122509916,281.0,0.020254369951308516
is_weekday_1,0.011990541405120113,0.011990541405120072,281.0,4.163336342344337e-17
macd_line_lag1,0.0024578301911576442,0.021377243317699617,282.0,0.018919413126541974
price_acceleration,0.014430852252055478,0.008476764251487212,282.0,0.005954088000568266
is_quarter_start,0.011487280122098221,0.011487280122098218,283.0,3.469446951953614e-18
price_cmf_confirm,0.011122832565754697,0.011122832565754689,286.0,8.673617379884035e-18
volume_sma_5d,0.006588527910248173,0.012275718671732529,289.0,0.0056871907614843556
is_weekday_2,0.009996768428151344,0.009996768428151382,290.0,3.8163916471489756e-17
macd_signal,0.0009444371576824329,0.018803766528069806,293.0,0.017859329370387374
stochastic_k,0.008082502397171185,0.009214859046560525,294.0,0.0011323566493893402
rsi_14,0.005985223159371717,0.007903262540895583,303.0,0.0019180393815238662
price_rsi_divergence,0.006431940404873837,0.006431940404873847,304.0,9.540979117872439e-18
rs_nifty_120d,0.0057286361127901345,0.009803216824761476,305.0,0.004074580711971342
cmf_20d,0.007331551204691392,0.004732005878690154,306.0,0.002599545326001238
is_year_end,0.005923062601478628,0.005923062601478635,307.5,6.938893903907228e-18
is_year_start,0.005923062601478624,0.005923062601478635,308.5,1.1275702593849246e-17
is_weekday_5,0.005643360469218766,0.005643360469218732,314.0,3.469446951953614e-17
di_plus_14,0.00021696725201508424,0.010359950322449818,315.0,0.010142983070434734
volume_roc_5d,0.006622716539066946,0.0006376327090729315,318.0,0.005985083829994015
di_crossover,0.004816049934813423,0.004816049934813396,318.0,2.688821387764051e-17
zscore_20d,0.004534724918262806,0.004749076650487271,320.0,0.00021435173222446573
volume_sma_50d,0.005049925470800646,0.00462082384440383,320.0,0.0004291016263968158
quarter,0.003845423398950468,0.002922926837389905,327.0,0.0009224965615605629
volume_sma_10d,0.0003338031624454903,0.0049474792524269616,327.0,0.004613676089981472
dist_to_upper_band,0.00386292436638312,0.0021853077648350126,329.0,0.0016776166015481072
volume_sma_20d,0.0008357199342105008,0.003925742759164872,332.0,0.003090022824954371
is_weekday_3,0.0020757218503298833,0.0020757218503299596,334.0,7.632783294297951e-17
