Feature,Importance_3,Importance_1,Importance_2,Importance_0,Mean_Importance,Std_Importance,CV,Stability,Robust
zscore_20d,0.006926832562379084,0.008485615162921716,0.007336675617923049,0.01278873609957875,0.00888446486070065,0.0026851685697325666,0.30223188246113675,0.6977681175388633,False
volume_lag10,0.006843660687626176,0.004723291846901612,0.007098856668359683,0.01685957541595152,0.008881346154709749,0.005424358290874241,0.610758564671175,0.38924143532882505,False
volume_lag15,0.00724753474302562,0.006288974817566018,0.007058221061733931,0.014735452660625582,0.008832545820737787,0.003957042290880682,0.4480069876104475,0.5519930123895525,False
macd_line_lag15,0.010107154603663095,0.0124240655957626,0.00873788201705352,0.003993453905908004,0.008815639030596805,0.0035566027930030875,0.40344242094246335,0.5965575790575366,False
day_of_month,0.012437041686457295,0.006739529193230067,0.01260085271570159,0.0034143844984428017,0.008797952023457938,0.00450647427208222,0.5122185491401606,0.48778145085983937,False
dist_to_upper_band,0.00832038695469909,0.008955730928926826,0.010925861613544273,0.005973911411480677,0.008543972727162716,0.00204109000681837,0.23889238040755514,0.7611076195924449,True
volume_lag1,0.006196055699238149,0.0047118163592502005,0.004888488007912162,0.0183258947747486,0.008530563710287278,0.006563687608576382,0.7694318634204486,0.23056813657955144,False
macd_line_lag5,0.008664568455998597,0.007496958932235783,0.009307273492565054,0.008637488652840837,0.008526572383410067,0.0007529814994516012,0.08830998632998874,0.9116900136700112,False
volume_ratio_20d,0.006831407836975416,0.007671578865950433,0.008225916967410228,0.011118627582251697,0.008461882813146943,0.001861630255573113,0.22000189256705038,0.7799981074329496,False
bop,0.004445437413427269,0.004718360282775694,0.00845231036407094,0.016196873180642824,0.00845324531022918,0.0054764849972567635,0.6478559099478798,0.3521440900521202,False
rsi_14_lag5,0.007120694966478468,0.009924802395990789,0.0075584886204839155,0.009068180204058817,0.008418041546752998,0.001305749837312768,0.15511325461503522,0.8448867453849648,False
volume_lag2,0.007207406950894324,0.007067840851150584,0.00695441685490815,0.012201374710045976,0.008357759841749758,0.002564497973633639,0.3068403485511864,0.6931596514488136,False
atr_14_lag15,0.008940407191135768,0.008131558659389783,0.005986712316596694,0.010169940700567275,0.00830715471692238,0.0017593812572996108,0.21179107601505173,0.7882089239849482,False
rs_nifty_10d,0.006637763050526673,0.007527473402480041,0.015571293149429061,0.003302548682650518,0.008259769571271572,0.005202549977485385,0.6298662292703454,0.3701337707296546,False
rsi_14,0.007760133161043785,0.010490438127041252,0.009380374733112255,0.005292595347286275,0.008230885342120891,0.0022569936019387325,0.274210304323852,0.725789695676148,False
return_10d,0.007963477029046906,0.006889842795844381,0.015515914504496015,0.002420648047566187,0.008197470594238372,0.0054373996067670375,0.6633021098311138,0.3366978901688862,False
