Feature,Importance,Std_Importance,Stability
close,13.4,5.128352561983234,0.6172871508007176
rsi_14_lag1,12.6,2.6076809620810595,0.793041209910931
atr_14,12.0,4.415880433163924,0.6320099945688401
atr_14_lag2,11.2,4.54972526643093,0.5937745660530807
high,11.0,8.154753215150045,0.25865886601737165
atr_14_lag3,10.8,3.7682887362833544,0.651084408577059
volume_sma_5d,10.2,10.232301793829187,-0.0031667441825926623
day_of_week,10.0,8.154753215150045,0.1845247600325195
sma_20_lag20,9.8,8.318653737234168,0.15115786853142477
sma_50,9.4,5.594640292279746,0.40482556413773296
ema_50,9.2,6.300793600809345,0.31513120478907053
bollinger_lower,8.4,5.029910535983717,0.40120119795417675
atr_14_lag1,8.2,5.630275304103699,0.3133811442091654
sma_20_lag15,8.0,6.363961030678928,0.20450497060201267
low_lag20,6.6,5.272570530585627,0.20112579822554166
low_lag15,6.0,4.636809247747852,0.22719858750892674
open,5.6,2.792848008753788,0.5012772303516038
volume_sma_20d,5.4,3.7815340802378077,0.29971604074928737
open_lag15,4.8,2.16794833886788,0.548344190164152
open_lag10,4.8,3.492849839314596,0.27232310174214625
low_lag10,4.6,2.701851217221259,0.4126411674212116
close_lag15,4.6,2.073644135332772,0.5492078946650725
volume_sma_50d,4.2,4.207136793592526,-0.0016989980698876028
open_lag20,4.2,2.280350850198276,0.4570594506529222
volume_sma_10d,4.2,3.03315017762062,0.2778215582280529
low,4.2,1.788854381999832,0.5740823914089945
close_lag20,4.0,2.0,0.5000001249999688
bollinger_upper,4.0,2.0,0.5000001249999688
high_lag15,3.8,3.3466401061363023,0.11930546698900812
high_lag3,3.6,4.03732584763727,-0.12147909059949424
high_lag10,3.4,1.6733200530681511,0.5078471879660768
open_lag5,3.2,1.0954451150103321,0.6576735085362998
open_lag1,3.0,2.0,0.3333335555554815
high_lag5,3.0,1.0,0.6666667777777407
high_lag1,2.8,1.7888543819998317,0.3611236631701804
close_lag1,2.8,1.6431676725154984,0.41315461226067474
sma_20,2.8,1.0954451150103321,0.6087697415071165
sma_20_lag5,2.6,1.9493588689617927,0.25024687722743477
is_quarter_2,2.6,2.6076809620810595,-0.0029538304335494647
sma_20_lag2,2.4,1.6733200530681511,0.3027836017284363
close_lag10,2.4,1.5165750888103102,0.3680939762898806
high_lag2,2.4,1.6733200530681511,0.3027836017284363
low_lag2,2.2,0.447213595499958,0.7967211853540258
high_lag20,2.0,2.0,4.999997500476638e-07
sma_20_lag10,2.0,0.7071067811865476,0.6464467861833332
ema_20,2.0,0.7071067811865476,0.6464467861833332
low_lag5,1.8,2.489979919597747,-0.38332140904240997
volume_trend,1.8,1.3038404810405297,0.2756445796193837
is_weekday_4,1.8,1.9235384061671343,-0.06863185418626672
low_lag3,1.6,0.8944271909999159,0.4409833550104557
is_quarter_3,1.6,2.6076809620810595,-0.6297995826759231
low_lag1,1.4,1.3416407864998738,0.04168583701020645
open_lag3,1.2,0.8366600265340756,0.3027838922350268
close_lag3,1.2,0.4472135954999579,0.627322314314773
open_lag2,1.2,0.8366600265340756,0.3027838922350268
is_quarter_1,1.0,1.0,9.99998999939855e-07
sma_20_lag1,1.0,0.7071067811865476,0.29289392591952645
close_lag2,1.0,1.4142135623730951,-0.4142121481609471
sma_20_lag3,0.6,0.5477225575051661,0.0871305922737361
market_regime,0.6,0.8944271909999159,-0.4907095004840256
di_crossover,0.6,0.8944271909999159,-0.4907095004840256
vama_20d,0.6,0.8944271909999159,-0.4907095004840256
price_cmf_confirm,0.4,0.5477225575051661,-0.3693029705054889
is_weekday_2,0.4,0.5477225575051661,-0.3693029705054889
is_month_end,0.2,0.4472135954999579,-1.2360567972158036
is_weekday_3,0.2,0.4472135954999579,-1.2360567972158036
is_weekday_1,0.2,0.447213595499958,-1.2360567972158036
quarter,0.2,0.447213595499958,-1.2360567972158036
atr_ratio,0.2,0.447213595499958,-1.2360567972158036
adx_trend_strength,0.2,0.4472135954999579,-1.2360567972158036
