Stock Name,NSE Code,Market Capitalization
MPS Ltd.,MPSLTD,4045.35
Wonderla Holidays Ltd.,WONDERLA,4054.04
Bharat Rasayan Ltd.,BHARATRAS,4061.08
Rallis India Ltd.,RALLIS,4078.01
Bannari Amman Sugars Ltd.,BANARISUG,4078.29
Pilani Investment and Industries Corporation Ltd.,PILANIINVS,4081.27
NDR InvIT Trust,NDRINVIT,4085.36
Rain Industries Ltd.,RAIN,4088.95
Styrenix Performance Materials Ltd.,STYRENIX,4089.27
Share India Securities Ltd.,SHAREINDIA,4103.84
PTC India Ltd.,PTC,4109.19
AGI Greenpac Ltd.,AGI,4114.11
Skipper Ltd.,SKIPPER,4125.82
Easy Trip Planners Ltd.,EASEMYTRIP,4153.66
Innova Captab Ltd.,INNOVACAP,4153.96
Balaji Amines Ltd.,BALAMINES,4190.58
Sterlite Technologies Ltd.,STLTECH,4206.56
India Tourism Development Corporation Ltd.,ITDC,4223.29
Orient Electric Ltd.,ORIENTELEC,4229.13
Mas Financial Services Ltd.,MASFIN,4237.84
Unichem Laboratories Ltd.,UNICHEMLAB,4259.2
Zaggle Prepaid Ocean Services Ltd.,ZAGGLE,4263.63
VST Industries Ltd.,VSTIND,4286.44
Jana Small Finance Bank Ltd.,JSFB,4286.97
Sundaram-Clayton Ltd.,SUNCLAY,4291.07
Tilaknagar Industries Ltd.,TI,4292.87
VIP Industries Ltd.,VIPIND,4296.81
Hikal Ltd.,HIKAL,4324.16
Ahluwalia Contracts (India) Ltd.,AHLUCONT,4328.4
IFB Industries Ltd.,IFBIND,4337.74
Heidelberg Cement India Ltd.,HEIDELBERG,4360.49
Avalon Technologies Ltd.,AVALON,4395.48
SIS Ltd.,SIS,4396.13
Neogen Chemicals Ltd.,NEOGEN,4403.37
Johnson Controls-Hitachi Air Conditioning India Ltd.,JCHAC,4413.22
Inox Green Energy Services Ltd.,INOXGREEN,4423.65
Sharda Cropchem Ltd.,SHARDACROP,4470.88
Ceigall India Ltd.,CEIGALL,4491
Sharda Motor Industries Ltd.,SHARDAMOTR,4510.67
Banco Products (India) Ltd.,BANCOINDIA,4521.41
Mishra Dhatu Nigam Ltd.,MIDHANI,4555.17
Dynamatic Technologies Ltd.,DYNAMATECH,4601.82
Awfis Space Solutions Ltd,AWFIS,4635.3
Unimech Aerospace and Manufacturing Ltd.,UNIMECH,4648.57
Surya Roshni Ltd.,SURYAROSNI,4653.06
Rajesh Exports Ltd.,RAJESHEXPO,4701.13
Gujarat Ambuja Exports Ltd.,GAEL,4760.54
RattanIndia Power Ltd.,RTNPOWER,4784.76
Senco Gold Ltd.,SENCO,4805.89
Supriya Lifescience Ltd.,SUPRIYA,4808.04
TD Power Systems Ltd.,TDPOWERSYS,4823.73
Ashoka Buildcon Ltd.,ASHOKA,4832.65
Electronics Mart India Ltd.,EMIL,4848.99
Pricol Ltd.,PRICOLLTD,4849.06
Indigo Paints Ltd.,INDIGOPNTS,4858.02
Laxmi Organic Industries Ltd.,LXCHEM,4864.81
JK Paper Ltd.,JKPAPER,4869.47
Orchid Pharma Ltd.,ORCHPHARMA,4874.36
CSB Bank Ltd.,CSBBANK,4905.31
Mahindra Lifespace Developers Ltd.,MAHLIFE,4913.96
GMM Pfaudler Ltd.,GMMPFAUDLR,4977.21
Refex Industries Ltd.,REFEX,5057.49
Infibeam Avenues Ltd.,INFIBEAM,5070.66
Bharat Highways InvIT,INDUSINVIT,5071.2
Arvind Fashions Ltd.,ARVINDFASN,5075.12
J Kumar Infraprojects Ltd.,JKIL,5092.29
ICRA Ltd.,ICRA,5129.18
Shrem InvIT,SHREMINVIT,5143.68
Kaveri Seed Company Ltd.,KSCL,5148.8
Texmaco Rail & Engineering Ltd.,TEXRAIL,5174.3
LE Travenues Technology Ltd.,IXIGO,5222.8
Indo Count Industries Ltd.,ICIL,5235.57
Responsive Industries Ltd.,RESPONIND,5256.72
Bansal Wire Industries Ltd.,BANSALWIRE,5285.33
Greaves Cotton Ltd.,GREAVESCOT,5315.69
Sunteck Realty Ltd.,SUNTECK,5354.18
Sundaram Finance Holdings Ltd.,SUNDARMHLD,5396.01
Gulf Oil Lubricants India Ltd.,GULFOILLUB,5415.84
KRN Heat Exchanger and Refrigeration Ltd.,KRN,5428.45
V2 Retail Ltd.,V2RETAIL,5450.75
Entero Healthcare Solutions Ltd.,ENTERO,5501.31
GHCL Ltd.,GHCL,5534.63
Man Infraconstruction Ltd.,MANINFRA,5552.41
Suprajit Engineering Ltd.,SUPRAJIT,5556.84
Juniper Hotels Ltd.,JUNIPER,5602.61
The Anup Engineering Ltd.,ANUP,5603.72
Technocraft Industries (India) Ltd.,TIIL,5612.88
RattanIndia Enterprises Ltd.,RTNINDIA,5671.45
Manorama Industries Ltd.,MANORAMA,5679.49
Puravankara Ltd.,PURVA,5693.96
Power Mech Projects Ltd.,POWERMECH,5698.05
Strides Pharma Science Ltd.,STAR,5709.48
NIIT Learning Systems Ltd.,NIITMTS,5716.58
Privi Speciality Chemicals Ltd.,PRIVISCL,5724.83
Dhanuka Agritech Ltd.,DHANUKA,5731.48
Electrosteel Castings Ltd.,ELECTCAST,5734.28
Prism Johnson Ltd.,PRSMJOHNSN,5739.27
Greenlam Industries Ltd.,GREENLAM,5746.57
Shoppers Stop Ltd.,SHOPERSTOP,5758.29
Astra Microwave Products Ltd.,ASTRAMICRO,5764.11
Welspun Enterprises Ltd.,WELENT,5776.11
RateGain Travel Technologies Ltd.,RATEGAIN,5778.97
KRBL Ltd.,KRBL,5795.49
Gokaldas Exports Ltd.,GOKEX,5814.16
Shree Renuka Sugars Ltd.,RENUKA,5855.48
Thangamayil Jewellery Ltd.,THANGAMAYL,5872.49
Tanla Platforms Ltd.,TANLA,5873.36
Thomas Cook (India) Ltd.,THOMASCOOK,5875.05
HMT Ltd.,HMT,5898.84
MOIL Ltd.,MOIL,5906.16
V-Mart Retail Ltd.,VMART,5922.33
Mahindra Holidays & Resorts India Ltd.,MHRIL,5942.33
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,5964.61
Shilpa Medicare Ltd.,SHILPAMED,5966.22
Hindustan Foods Ltd.,HNDFDS,5997.32
PDS Ltd.,PDSL,6014.6
Gujarat Pipavav Port Ltd.,GPPL,6040.58
Dilip Buildcon Ltd.,DBL,6040.87
TVS Supply Chain Solutions Ltd.,TVSSCS,6075.25
Kesoram Industries Ltd.,KESORAMIND,6078.45
Nesco Ltd.,NESCO,6130.02
Pearl Global Industries Ltd.,PGIL,6164.73
Ethos Ltd.,ETHOSLTD,6166
Route Mobile Ltd.,ROUTE,6174.39
KNR Constructions Ltd.,KNRCON,6198.41
Archean Chemical Industries Ltd.,ACI,6211.5
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,6216.46
FDC Ltd.,FDC,6217.72
South Indian Bank Ltd.,SOUTHBANK,6226.79
Dodla Dairy Ltd.,DODLA,6244.23
EPL Ltd.,EPL,6252.26
HG Infra Engineering Ltd.,HGINFRA,6285.1
Ujaas Energy Ltd.,UEL,6297.67
Black Box Ltd.,BBOX,6313.25
Karnataka Bank Ltd.,KTKBANK,6336
Voltamp Transformers Ltd.,VOLTAMP,6351.52
Network18 Media & Investments Ltd.,NETWORK18,6371.54
Chemplast Sanmar Ltd.,CHEMPLASTS,6397.11
Lloyds Engineering Works Ltd.,LLOYDSENGG,6412.64
Varroc Engineering Ltd.,VARROC,6445.29
Rashtriya Chemicals & Fertilizers Ltd.,RCF,6455.85
Tamilnad Mercantile Bank Ltd.,TMB,6478.95
Equitas Small Finance Bank Ltd.,EQUITASBNK,6481.7
Keystone Realtors Ltd.,RUSTOMJEE,6529.95
Max Estates Ltd.,MAXESTATES,6531.54
PC Jeweller Ltd.,PCJEWELLER,6602.97
Raymond Lifestyle Ltd.,RAYMONDLSL,6620.26
PNC Infratech Ltd.,PNCINFRA,6643.08
Aarti Pharmalabs Ltd.,AARTIPHARM,6644.7
Valor Estate Ltd.,DBREALTY,6647.36
Borosil Renewables Ltd.,BORORENEW,6656.45
Gabriel India Ltd.,GABRIEL,6663.64
Gujarat State Fertilizer & Chemicals Ltd.,GSFC,6675.69
